Country (or dependency),Population (2020),Net Change,Density (P/Km²),Land Area (Km²),Fert. Rate,Med. Age
Jamaica,2963429,12888,273,10830,2,31
Qatar,2889284,48986,248,11610,1.9,32
Albania,2877239,-3120,105,27400,1.6,36
Puerto Rico,2846860,-72555,323,8870,1.2,44
Lithuania,2715340,-37338,43,62674,1.7,45
Namibia,2548663,46375,3,823290,3.4,22
Gambia,2427782,68962,239,10120,5.3,18
Botswana,2359585,47930,4,566730,2.9,24
Gabon,2234448,53155,9,257670,4,23
Lesotho,2145194,16981,71,30360,3.2,24
North Macedonia,2083359,-85,83,25220,1.5,39
Slovenia,2078989,284,103,20140,1.6,45
Guinea-Bissau,1975718,47079,70,28120,4.5,19
Latvia,1882408,-20545,30,62200,1.7,44
Bahrain,1711057,60403,2239,760,2,32
Equatorial Guinea,1410419,46999,50,28050,4.6,22
Trinidad and Tobago,1400283,4515,273,5130,1.7,36
Estonia,1326693,887,31,42390,1.6,42
Timor-Leste,1322667,25326,89,14870,4.1,21
Mauritius,1272140,2100,626,2030,1.4,37
Cyprus,1208886,8784,131,9240,1.3,37
Eswatini,1162233,12034,67,17200,3,21
Djibouti,990447,14440,43,23180,2.8,27
Fiji,897573,6492,49,18270,2.8,28
Réunion,896422,6385,358,2500,2.3,36
Comoros,872695,18715,467,1861,4.2,20
Guyana,787215,3786,4,196850,2.5,27
Bhutan,773069,8516,20,38117,2,28
Solomon Islands,689671,17061,25,27990,4.4,20
Macao,650846,8890,21645,30,1.2,39
Montenegro,628080,79,47,13450,1.8,39
Luxembourg,627704,10249,242,2590,1.5,40
Western Sahara,599769,14876,2,266000,2.4,28
Suriname,587541,5260,4,156000,2.4,29
Cabo Verde,557026,6052,138,4030,2.3,28
Maldives,542151,9591,1802,300,1.9,30
Malta,441750,1171,1380,320,1.5,43
Brunei,438202,4194,83,5270,1.8,32
Guadeloupe,400136,68,237,1690,2.2,44
Belize,398845,7275,17,22810,2.3,25
Bahamas,393893,3762,39,10010,1.8,32
Martinique,375213,-289,354,1060,1.9,47
Iceland,341628,2212,3,100250,1.8,37
Vanuatu,308337,7263,25,12190,3.8,21
French Guiana,299958,7850,4,82200,3.4,25
Barbados,287437,350,668,430,1.6,40
New Caledonia,285972,2748,16,18280,2,34
French Polynesia,281191,1621,77,3660,2,34
Mayotte,273905,6665,728,375,3.7,20
Sao Tome & Principe,219844,4103,228,960,4.4,19
